id	name	prereq	subseq	type	alias	description
903	Flyaway Precision Punch Wall Flip	Double Flyaway		Bar/Wall/Flip	Swing Gainer Precision Punch Wall Flip	Flyaway into a Punch Wall Flip. This was first attempted by Alfred Scott of Dodo Freerunning in 2016.
904	Lache Precision Punch Wall Flip	Lache, Punch Wall Flip	Lache Precision Punch Wall Full	Bar/Wall/Flip		Lache Precision into Punch Wall Flip.
905	Lache Precision Punch Wall Full	Lache Precision Punch Wall Flip		Bar/Wall/Flip/Twist		Lache Precision to Punch Wall Full.
906	Wall Stall Pike Layout	Wall Layout, Wall Pike		Wall/Flip		One step up a wall into a stalled pike Wall Flip opened early into a layout. This was first landed by Shawn Bautista of Dodo Freerunning in 2015.
907	Gainer Unwind Half	Gainer Full		Flip/Twist	Gainer Un-Half	Gainer with a half twist in one direction followed by a half twist in the opposite direction.
908	Wall Arabian One and a Half Dive Roll	Wall Arabian	Wall Arabian Wall Punch Dive Roll	Wall/Flip/Roll		Wall Arabian with one and a half degree rotation to Dive Roll.
909	Trapdoor Palm Flip	Dive Palm Flip		Wall/Flip		Dive Palm Flip set over a gap to a wall, and then pushing off the wall into a back tuck and landing in the gap below.
910	Handstand Inward Front	Castaway Inward Front		Beam/Flip/Handstand		An Inward Front set from Handstand. This was first landed by Alexey Kruk in 2016.
911	Dive One-Hand Palm Flip	One-Hand Palm Flip		Wall/Flip		A dive set into a One-Hand Palm Flip.
912	Lotus Flyaway	Flyaway		Bar/Flip		Flyaway with both legs crossed in lotus position during the flip. This was first landed by Jason Paul of team Farang in 2016.
913	EW Gainer Double Full	EW Gainer Full		Wall/Flip/Twist		A double full twisting EW Gainer. This was first attempted by Kyle Eckstrom in 2016.
914	Castaway Arabian	Castaway Back	Castaway Full	Bar/Flip/Twist	Palm Drop Arabian	A cast set into Arabian.
915	Castaway Arabian Unwind Half	Castaway Full		Bar/Flip/Twist	Castaway Arabian Un-Half	Castaway Arabian with a half twist in one direction followed by a half twist in the opposite direction. This was first attempted by Kyle Eckstrom in 2016.
916	Pendulum Full-Down	Pendulum		Beam/Flip/Twist		Pendulum into a full twist after the flip.
917	Corkscrew-In Full-Out	Corkscrew-In Back-Out		Flip/Twist		Corkscrew-In Back-Out with a full twist during the second rotation.
918	Sideways Sitting Gainer	Sitting Turn Pimp Flip		Beam/Flip	No-Hand Pimp Flip	Sitting Gainer set off a ledge sideways.
919	Corner Palm Flip	Palm Flip	One-Step Corner Palm Flip	Wall/Flip		Palm Flip set off a concave corner of two adjacent walls.
920	One-Step Corner Palm Flip	Corner Palm Flip		Wall/Flip		One step up a wall into a Corner Palm Flip.
921	720 Dive Kong	360 Dive Kong		Vault/Twist	720 Cat Pass, 720 Vortex Kong	A double twisting dive into Kong vault.
922	Two-Step Wall Inward Double Side	Two-Step Wall Inward Side		Wall/Flip		Two steps up a wall into Double Side. This was first landed by Vanya Tischenko in 2016.
923	Inward Flyaway Wall Punch Dive Roll	Inward Flyaway		Bar/Wall/Flip/Roll		An over-rotated Inward Flyaway into a punch dive roll off a wall. This was first landed by Stanislav Lazdan in 2014.
924	Running Gainer Layout	Running Gainer	Peter Pan Running Gainer Layout	Flip		A laid out Running Gainer.
925	Slant Kong Gainer Double Full	Slant Kong Gainer Full		Vault/Flip/Twist	Slant Cat Pass Gainer Double Full	A double full twisting Slant Kong Gainer. This was first attempted by Calen Chan of team You Got This in 2016.
926	Lazy Boy Running Gainer	Running Gainer		Flip/Twist		A stalled Running Gainer variation with both hands behind the head.
927	One-Step Palm Kick-Out	One-Step Palm Flip		Wall/Flip		One-Step Palm Flip opened early with both legs kicking out.
928	Dive Gaet Pimp	Gaet Pimp	Dive Gaet Pimp Full	Beam/Flip		A dive into Gaet Pimp.
929	Dive Gaet Pimp Full	Dive Gaet Pimp		Beam/Flip/Twist		A full twisting Dive Gaet Pimp. This was first landed by Alfred Scott of Dodo Freerunning in 2016.
930	One-Step Palm Punch Layout	One-Step Palm Flip		Wall/Flip		One-Step Palm Flip set into a Punch Wall Layout.
931	Wall Arabian Wall Punch Dive Roll	Wall Arabian One and a Half Dive Roll		Wall/Flip/Roll		An over-rotated Wall Arabian into a punch off the wall with both feet into a dive roll.
932	Tsukahara Dismount		Kasamatsu Dismount	Beam/Flip		A cartwheel pushing off into a back layout off a ledge.
933	Kasamatsu Dismount	Tsukahara Dismount		Beam/Flip/Twist		A full twisting Tsukahara Dismount.
934	Kong Gainer Pike	Kong Gainer		Vault/Flip	Cat Pass Gainer Pike	A piked Kong Gainer.
935	Wall Triple Corkscrew	Wall Double Corkscrew		Wall/Flip/Twist		A triple twisting Wall Corkscrew. Reference Club540.com for Triple Corkscrew.
936	Wall Side Flip	Side Flip, Wall Flip	Wall Pistol Side	Wall/Flip		Wall Flip set into a side tuck.
937	540 Precision	360 Precision	720 Precision	Jump/Twist/Beam		A one-and-a-half twisting jump to precision landing.
938	Kick Side Full	Side Full		Flip/Twist		Side Full variation initiated with a kick in the travel direction.
939	Side Double Full	Side Full		Flip/Twist		A double full twisting Side Flip.
940	Devil Drop Frisbee	Inward Frisbee	Devil Drop Frisbee Full-Down	Wall/Flip		An Inward Frisbee set from Cat Hang position.
941	Devil Drop Frisbee Full-Down	Devil Drop Frisbee		Wall/Flip/Twist		Devil Drop Frisbee into a full twist after the flip. This was first landed by Elias Gross in 2016.
942	Devil Drop Side Catch	Devil Drop Side		Bar/Wall/Flip		Devil Drop Side to bar catch.
943	Front Kong	Front Flip		Flip/Vault		Front Flip with an extra quarter rotation into Kong Vault.
944	Wall Full Snapu	Wall Double Full		Wall/Flip/Twist		Wall Double Full variation with a kick after the first into a second full twist before landing. This was first attempted by Dimitris Dimitris Dk' Kyrsanidis of team Focus in 2016.
945	Standing Pike Double Front Flip	Standing Double Front Flip		Flip		A piked Standing Double Front Flip.
946	Standing Double Front Flip	Front Flip	Standing Pike Double Front Flip	Flip		A double rotating Front Flip from standing.
947	Stall Front Flip	Front Flip	Kong Stall Front	Flip		Front Flip with a stall rotation.
948	Reverse Safety	Reverse Vault, Safety Vault	Reverse Speed	Vault		Reverse using two hands into a Safety off a consecutive obstacle.
949	Palm Full	Palm Flip	Palm Double Full	Wall/Flip/Twist		A full twisting Palm Flip.
950	Slant Gainer		Corkscrew	Flip	Cheat Gainer	An off-axis non-inverted running gainer landing on the kick leg which is extended throughout the flip.
951	Turn Wall Hang Drop	Cat Leap	Wall Pounce Drop	Wall		A wall dismount starting with a turn off the wall into Cat Leap position and then kicking off the wall with one foot while dropping.
952	Wall Pounce Drop	Turn Wall Hang Drop		Wall		A leap over a gap to the face of a wall and then using either one or both hands and feet to stop forward momentum and control descent.
953	One-hand Gaet Pimp	Gaet Pimp	One-hand Gaet Pimp Full	Vault/Flip		A one-handed Gaet Pimp Flip.
954	One-hand Gaet Pimp Double Full	One-hand Gaet Pimp Full		Vault/Flip/Twist		A double full twisting One-hand Gaet Pimp.
955	Pimp Full	Pimp Flip	Pimp Double Full	Vault/Flip/Twist		A full twisting Pimp Flip.
956	Pimp Spin Gainer Pike	Pimp Spin Gainer		Vault/Flip		Pimp Spin Gainer in Pike position (legs straight and together during the tuck).
957	Helicoptero	Butterfly Kick, Cartwheel		Twist	Leg swipe	Butterfly kick using both hands on a rail for support where the first kick leg swipes around and back up while the second leg follows through and lands first.
958	Cast Vault	Cast Mount, Monkey Vault		Wall		A cast into Monkey Vault.
959	Devil Drop Raiden	Raiden	Devil Drop Raiden Half	Wall/Flip		Raiden set from Cat Hang position.
960	Devil Drop Gainer One-Hand Down Monkey Full-Down	Devil Drop Gainer One-Hand Down Monkey Half-Down		Wall/Flip/Twist		Devil Drop Gainer One-Hand Down Monkey into a full twist after the flip.
961	Human Flag Castaway Wall Full	Human Flag Castaway Wall Flip		Pole/Wall/Flip/Twist		A full twisting Flag Castaway Wall Flip.
962	Human Flag Castaway Wall Flip	Human Flag Castaway Back	Human Flag Castaway Wall Full	Pole/Wall/Flip		Human Flag Castaway set into a Wall Flip.
963	Devil Drop Gainer One-Hand Down Monkey Flash Kick	Devil Drop Gainer One-Hand Down Monkey		Wall/Flip		Devil Drop Gainer into a One-Hand Down Monkey where the first leg to come off the wall kicks ahead and the other leg lags behind.
964	Devil Drop Wall Spin Half	Devil Drop Wall Spin		Wall/Flip/Twist		A half twisting Devil Drop Wall Spin.
965	Devil Drop Turn Gargoyle Front	Gargoyle Front		Wall/Flip		Devil Drop set into a turn into Gargoyle Front.
966	180 Ceiling Palm Flip	Ceiling Palm Flip	180 Ceiling Palm Flip 180	Ceiling/Flip		A 180 jump set into a Palm Flip off the ceiling or high bar.
967	Back One and a Half Full	Back Full	Back Double Full	Flip		A one and a half twisting Back Flip.
968	Back Double Full	Back One and a Half Full	Back Two and a Half Full	Flip/Twist		A double twisting Back Flip.
969	Back Two and a Half Full	Back Double Full	Back Triple Full	Flip/Twist		A two and a half twisting Back Flip.
970	Back Triple Full	Back Two and a Half Full	Back Three and a Half Full	Flip/Twist		A triple twisting Back Flip.
971	Back Three and a Half Full	Back Triple Full	Back Quadruple Full	Flip/Twist		A three and a half twisting Back Flip.
972	Back Quadruple Full	Back Three and a Half Full		Flip/Twist		A quadruple twisting Back Flip.
973	Lache Side Full	Lache Side		Bar/Flip/Twist		A full twisting Lache Side.
974	Flyaway Stall-Out	Double Flyaway	Flyaway Full-Down-In Back-Out	Bar/Flip		Double Flyaway with a stall before the second rotation.
975	Flyaway Full-in Triff	Triple Flyaway		Bar/Flip/Twist		Triple Flyaway with a full twist during the first rotation.
976	Pop Castaway Side	Castaway Side		Wall/Flip		Devil Drop set into side tuck.
977	Double Corkscrew	Corkscrew	Triple Corkscrew	Flip/Twist		A double twisting Corkscrew.
978	Triple Corkscrew	Double Corkscrew	Quadruple Corkscrew	Flip/Twist		A triple twisting Corkscrew.
979	Quadruple Corkscrew	Triple Corkscrew		Flip/Twist		A quadruple twisting Corkscrew.
980	Corkscrew-In Back-Out	Corkscrew	Corkscrew-In Full-Out	Flip/Twist	Cork-In	Corkscrew into a back tuck.
981	Swing Castaway Kick Full	Swing Castaway Full		Bar/Flip/Twist		Swing Castaway with a kick into full twist.
982	Lache Punch Wall Inward Front Regrab	Lache Punch Wall Inward Front		Bar/Wall/Flip		Lache Punch Wall Inward Front to regrabbing the bar.
983	Swing Castaway Stall Full-Down	Swing Castaway Stall Back		Bar/Flip/Twist		Swing Castaway Stall Back with a full twist after the flip.
984	One-Step Palm Punch Wall Side	One-Step Palm Side		Wall/Flip		One-Step Palm set into Punch Wall Side.
985	Half-Up Back Unwind Full-Down	Half-Up Back Full-Down		Flip/Twist	Jonah Un-Full-Down	Jonah into a full twist after the flip in the opposite direction.
986	Full-Up Side Precision	Full-Up Side		Flip/Twist		360 twist up while stalling the flip into a side tuck to a precision landing.
987	360 Dive One-and-a-Half Front Flip Dive Roll	One-and-a-Half Front Flip Dive Roll		Flip/Twist/Roll		A 360 Dive Front Flip with one and a half degree rotation to Dive Roll.
988	Unwind Arabian Unwind Half	Unwind Arabian		Flip/Twist	Arabian Un-Half Un-Half	Unwind Arabian followed by a half twist in the opposite direction.
989	One-Step Palm Tunnel Pike Half-Down	One-Step Palm Tunnel Pike		Wall/Flip/Twist		One-Step Palm Tunnel Pike into a half twist after the flip.
990	Side Quarter Unwind Full	Side One and a Quarter Full		Flip/Twist	Side Quarter Un-Full	Side Quarter followed by a full twist in the opposite direction.
991	Alleyway Gaet Pimp Layout	Alleyway Gaet Pimp		Wall/Beam/Flip		A laid out Alleyway Gaet Pimp.
992	Alleyway Palm Flip	Palm Flip		Wall/Beam/Flip		Palm Flip set from alleyway climb position.
993	Speed Tunnel Pike	Speed Tunnel, Tunnel Pike		Vault/Flip	Bullet Vault	A piked (both legs straight during the tuck) Speed Tunnel.
994	Toe Shoot Front One and Half Full	Toe Shoot Front Full		Bar/Flip/Twist		A one and a half twisting Toe Shoot Front.
995	Raiden Side	Raiden, Side Flip		Wall/Flip		Raiden set into side tuck.
996	Kroc Down Monkey	Down Monkey, Kroc		Wall/Flip		Kroc dismount into Down Monkey off a ledge.
997	Wall Gainer One-Hand Down Monkey Full-Down	Wall Gainer One-Hand Down Monkey		Wall/Flip/Twist	Dragonfly Full	Wall Gainer One-Hand Down Monkey into a full twist after the flip.
998	270 Dive Down Monkey Full-Down	270 Dive Down Monkey		Wall/Flip/Twist		270 Dive Down Monkey into a full twist after the flip.
999	Inward Tunnel Full	Inward Tunnel Flip		Flip/Twist		A full twisting Inward Tunnel Flip.
1000	Castaway Inward Side	Inward Side		Bar/Flip		A castaway set into an inward side tuck.
1001	Triple Kong Gainer	Double Kong Gainer		Vault/Flip	Triple Cat Pass Gainer	Double Kong Vault into a dive to a Kong Gainer. This was first landed by Didi Alaoui Mohammed in 2015.
1002	Double Safety Vault	Safety Vault	Triple Safety Vault	Vault	Double Speed Step	Safety Vault into a consecutive Safety Vault.
1003	Triple Safety Vault	Double Safety Vault		Vault	Triple Speed Step	A vault in which the Safety Vault off the first wall is used for a Safety off the second wall and then off a third parallel obstacle.
1004	Backward Precision	Precision		Jump		A backward jump to a precision landing.
1005	Hurdle Precision	Precision		Jump		A hurdle jump to a precision landing.
1006	Safety Precision	Safety Vault		Vault	Speed Step Precision	Safety Vault to precision landing.
1007	Punch Tic Tac		Punch Tic Tac Precision	Wall/Jump		Punch off a wall, often using both hands to assist pushing.
1008	Punch Tic Tac Precision	Precision, Punch Tic Tac		Wall/Jump		Punch Tic Tac to precision landing.
1009	Kong 180 Precision	Kong Precision		Vault	Cat Pass 180 Precision	Kong half turn into precision landing.
1010	Dive Handstand	Handstand	Kong Handstand			A dive to Handstand.
1011	Kong Triple Safety Vault			Vault	Cat Pass Triple Speed Step Vault	Kong Triple Speed Step Vault
1012	Speed Double Safety Precision	Speed Double Safety		Vault	Speed Double Speed Step Precision	Speed into Double Safety to a precision landing.
1013	One-Hand Palm Gainer Pike	One-Hand Palm Gainer		Wall/Flip	Ginger Flip Pike, Hi-Five Gainer Pike	One-Hand Palm Gainer performed in Pike position (legs straight and together during the tuck).
1014	Speed Double Safety	Speed Safety	Speed Double Safety Precision	Vault	Speed Double Speed Step	Speed into Double Safety.
1015	Half-Up Back Full-Down	Half-Up Back	Half-Up Back Unwind Full-Down	Flip/Twist	Jonah Full-Down	Half-Up into a full twist after the flip.
1016	Turn Gaet Pimp Wall Full	Turn Gaet Pimp Wall Flip	Turn Gaet Pimp Wall Wrap Full	Beam/Wall/Flip		A full twisting Turn Gaet Pimp Wall Flip.
1017	Angel Drop Wall Flip	Angel Drop	Angel Drop Wall Full	Wall/Flip		An Angel Drop set into Wall Flip.
1018	Angel Drop Wall Full	Angel Drop Wall Flip	Angel Drop Wall Double Full	Wall/Flip/Twist		A full twisting Angel Drop Wall Flip.
1019	Angel Drop Wall Double Full	Angel Drop Wall Full		Wall/Flip/Twist		A double full twisting Angel Drop Wall Flip.
1020	Wall Full Double Leg Full Twist	Wall Full Double Leg		Wall/Flip/Twist		Wall Full into a Double Leg Full Twist.
1021	Wall Full Double Leg	Wall Full	Wall Full Double Leg Full Twist	Wall/Flip/Twist		Wall Full into a Double Leg.
1022	Descent			Wall		The process of climbing down the face of a structure, typically a garage park, building or staircase.
1023	Ascent			Wall		The process of climbing up the face of a structure, typically a garage park, building or staircase.
1024	Cast Mount		Cast Vault	Wall		A cast and kick with both feet to landing on the same wall.
1025	One-Step Wall Flare	Wall Flare	One-Step Wall Flare Back	Wall		One step up a wall into Wall Flare.
1026	Devil Drop Gainer One-Hand Down Monkey	Devil Drop Gainer Down Monkey	Devil Drop Gainer One-Hand Down Monkey Flash Kick, Devil Drop Gainer One-Hand Down Monkey Half-Down	Wall/Flip/Twist		Devil Drop Gainer into a One-Hand Down Monkey.
1027	Devil Drop Gainer One-Hand Down Monkey Half-Down	Devil Drop Gainer One-Hand Down Monkey	Devil Drop Gainer One-Hand Down Monkey Full-Down	Wall/Flip/Twist		Devil Drop Gainer One-Hand Down Monkey into a half twist after the flip.
1028	Devil Drop Wall Spin	Wall Spin	Devil Drop Wall Spin Half	Wall/Flip		Devil Drop set into Wall Spin.
1029	Tunnel Pike	Tunnel Flip	Speed Tunnel Pike	Flip	Bullet Flip	A piked Tunnel Flip.
1030	Side Unwind Half	Side Full		Flip/Twist	Side Un-Half	A half twisting Side Flip followed by a half twist in the opposite direction.
1031	Arabian One and a Half Dive Roll	Arabian		Flip/Twist		An Arabian with one and a half degree rotation to Dive Roll.
1032	Unwind Arabian	Arabian	Unwind Arabian Unwind Half	Flip/Twist	Arabian Un-Half	An Arabian with a half twist in one direction followed by a half twist in the opposite direction.
1033	One-Step Palm Tunnel Pike	One-Step Palm Tunnel	One-Step Palm Tunnel Pike Half-Down	Wall/Flip		A piked One-Step Palm Tunnel.
1034	One-Step Palm Tunnel	Wall Tunnel Flip	One-Step Palm Tunnel Pike	Wall/Flip		Wall Tunnel Flip using both hands to push off the wall.
1035	Ceiling Palm Pike	Ceiling Palm Flip		Ceiling/Flip		A piked Ceiling Palm Flip.
1036	Ceiling Palm Flip	Palm Flip	180 Ceiling Palm Flip, Ceiling Palm Pike	Ceiling/Flip		Palm Flip off a ceiling.
1037	Side One and a Quarter Full	Side Quarter Layout	Side Quarter Unwind Full	Flip/Twist		A full twisting Side Quarter Back.
1038	Side Quarter Layout	Side Quarter Back	Side One and a Quarter Full	Flip		A laid out Side Quarter Back.
1039	Side Quarter Back	Side Flip	Side Quarter Layout	Flip		A quarter twisting Side Flip into a back tuck.
1040	Toe Shoot Front Full	Toe Shoot Front Half	Toe Shoot Front One and Half Full	Bar/Flip/Twist		A full twisting Toe Shoot Front.
1041	270 Dive Down Monkey	Down Monkey	270 Dive Down Monkey Full-Down	Wall/Flip/Twist		A three-quarter dive into Down Monkey.
1042	Alleyway Gaet Pimp	Gaet Pimp	Alleyway Gaet Pimp Layout	Wall/Beam/Flip		Gaet Pimp set from alleyway climb position.
1043	Running Gainer Full Down Monkey	Running Gainer Full		Wall/Flip/Twist		Running Gainer Full dismount into Down Monkey off a parallel wall while inverted.
1044	Gaet Pimp Layout-In Back-Out	Double Gaet Pimp		Beam/Flip/Twist		Gaet Pimp Layout into a back tuck.
1045	Wall Corkscrew Shuriken	Wall Corkscrew	Wall Corkscrew Shuriken Cutter	Wall/Twist		Wall Corkscrew set into Shuriken Twist.
1046	180 Safety Vault	Safety Vault		Vault		A 180 jump into Safety Vault.
1047	Split Vault			Vault		A one-hand vault set sideways with a partial front split over the obstacle. As the first hand releases and pushes away, the opposite hand catches the obstacle to help rebalance and push away.
1048	Wall Spin Flip	Palm Flip, Wall Spin		Wall/Flip		Wall Spin set into a tuck by pushing off the wall with both hands.
1049	Wall Corkscrew Shuriken Cutter	Wall Corkscrew Shuriken		Wall/Twist		Wall Corkscrew Shuriken into a full twist with the kicking leg fully extended.
1050	Two-Hand Wall Touch Down Raiz	Raiz		Wall/Flip		Raiz towards a wall using both hands to push off the wall.
1051	Raiz	Aerial	Palm Spin Raiz, Raiz-In Back-Out, Two-Hand Wall Touch Down Raiz	Flip		An inverted Aerial.
1052	Raiz-In Back-Out	Raiz		Flip		Raiz dismount into a back tuck.
1053	Flyaway Back-In Layout-Out	Double Flyaway		Bar/Flip		Flyaway into a back layout.
1054	Flyaway Layout-In Back-Out	Double Flyaway, Flyaway Layout	Flyaway Layout-In Full-Out	Bar/Flip		Flyaway Layout into a back tuck.
1055	Kroc	Corkscrew	Double Kroc, Kroc Down Monkey	Flip/Twist		Corkscrew set into a twist in the opposite direction.
1056	Double Kroc	Kroc		Flip/Twist		A double twisting Kroc.
1057	Flyaway Full Cat	Flyaway Cat		Bar/Flip/Twist		Flyaway Full landing in Cat Hang position.
1058	One-Hand Hang Gainer	Hang Gainer		Wall/Flip		Hang Gainer using one hand.
1059	Dyno Palm Flip	Dyno, Palm Flip	Dyno Palm Wall Punch Layout	Wall/Flip		Dyno into Palm Flip.
1060	Dyno Palm Wall Punch Layout	Dyno Palm Flip, Punch Wall Layout		Wall/Flip		Dyno Palm Flip set into Punch Wall Layout.
1061	Castaway Pike	Castaway Back		Bar/Flip		A piked Castaway Back.
1062	Devil Drop Stall	Devil Drop		Wall/Flip		A stalled Devil Drop.
1063	2D Flyaway	Flyaway		Wall/Flip		Flyaway parallel to and set from Hang on a wall.
1064	Hang Castaway Wall Punch Layout	Hang Castaway Back, Punch Wall Layout		Wall/Flip		Hang Castaway Back set into Punch Wall Layout.
1065	Tic Tac Trapdoor Wall Flip	Trapdoor Wall Flip	Trapdoor Wall Layout	Wall/Flip		Tic Tac set into Trap Door Wall Flip.
1066	Trapdoor Wall Layout	Tic Tac Trapdoor Wall Flip		Wall/Flip		A laid out Tic Tac Trapdoor Wall Flip.
1067	Lache Front Half	Lache Front		Bar/Flip/Twist		A half twisting Lache Front.
1068	Trapdoor Punch Wall Layout	Trapdoor Wall Flip		Wall/Flip		Trapdoor Wall Flip into Punch Wall Layout.
1069	Flyaway Layout-In Full-Out	Flyaway Layout-In Back-Out, Flyaway-In Full-Out		Bar/Flip/Twist		Flyaway Layout-In Back-out with a full twist during the second rotation.
1070	One-Step Straddle Palm Flip	Straddle Palm Flip		Wall/Flip		One step into a Straddle Palm Flip.
1071	Wall Full Down Monkey	Wall Layout Down Monkey		Wall/Flip/Twist		A full twisting Wall Flip Down Monkey.
1072	Elbow One-Hand Palm Gainer	One-Hand Palm Gainer	Elbow One-Hand Palm Double Gainer	Wall/Flip	Ginger Flip, Hi-Five Gainer	One-Hand Palm Gainer set using the forearm.
1073	Speed Safety	Safety Vault, Speed Vault	Speed Double Safety	Vault		Speed Vault into a Safety Vault off a consecutive obstacle.
1074	Side-In Back-Out	Double Side Flip		Flip		Side Flip into a back tuck.
1075	Castaway Pistol	Castaway Back	Hang Castaway Pistol, Pop Castaway Pistol	Bar/Flip		Castaway set into Pistol.
1076	Hang Castaway Pistol	Castaway Pistol		Wall/Flip		Castaway set from Hanging position against a wall.
1077	Pop Castaway Pistol	Castaway Pistol		Wall/Flip		Devil Drop set into Castaway Pistol.
1078	Side Pistol	Side Flip		Flip		Side Flip executed in Pistol position (one leg tucked with the other straight).
1079	Pistol Frisbee	Frisbee	Double Pistol Frisbee	Flip		Frisbee executed in Pistol position.
1080	Double Pistol Frisbee	Pistol Frisbee		Flip		A double rotating Pistol Frisbee.
1081	Palm Side Pistol	Palm Side	One-Step Palm Side Pistol	Wall/Flip		Palm Side in pistol position.
1082	One-Step Palm Side Pistol	Palm Side Pistol		Wall/Flip		One-step into Palm Side Pistol.
1083	Palm Spin Raiz	Raiz		Flip		Raiz using both hands on a rail or ledge for support.
1084	Palm Spin Aerial	Aerial		Flip		Aerial using both hands on a rail or ledge for support.
1085	Wall Feilong			Wall		One step up a wall into Feilong Kick.
1086	Wall Pistol Side	Wall Side Flip		Wall/Flip		Wall Side executed in Pistol position.
1087	Skin the Catch In Back-Out	Skin the Catch		Bar/Flip	Shrimp-In Back-Out	Skin the Catch into a back tuck.
1088	Splat		Splat 180	Wall		A jump to the face of a wall and using both hands and feet to control and slow dropping.
1089	Splat 180	Splat		Wall		Splat into a simuntaneous jump and push into a half turn off the wall.
1090	Alleyway Bridge Down Monkey	Wall Layout Down Monkey		Wall/Flip		Down Monkey set from a bridge position in an alleyway.
1091	Toe Hang Front			Wall/Flip		Front tuck set from hanging off the face of a wall using both feet to hook onto the top of the wall and both hands to push off.
1092	Flyaway Spider Climb	Flyaway		Wall/Bar/Flip		Flyaway to spider climb position.
